Text,Created At,Is Retweet,Language,User Location,"label (0:misinformation, 1: counter-misinformation, 2: irrelevant)","Is_Sarcasm (1: Not_Sarcasm, 2: Sarcasm)"
@CEOErickHayden @truthseeker6761 5G is doing it.  Coronavirus is a cover. https://t.co/V3RfLIOpy4,Fri Feb 28 06:52:38 +0000 2020,FALSE,en,,0,1
@epochchanger In Wuhan six months before the coronavirus there was Major protests. 5G is already set up in Wuhan and it's 60 megahertz causes major issues to the oxygen atom. Please tell us more about the truth about the flu?,Fri Feb 28 18:30:01 +0000 2020,FALSE,en,,0,1
"(Case of #Southkorea) Boundary for ""no simptoms"". The focus is on ""preventive test"" in light of the rapid spread of the #virus. It is also being transparently released at 5G speeds.  : Number of infections? Now, Is it safe because other countries don't test? #COVID19 #coronovirus https://t.co/Ey22ffRfRe",Fri Feb 28 00:05:29 +0000 2020,FALSE,en,대한민국 서울,0,1
"@GCkiNG01 @jimcramer I think demand will come back in time and the implementation and production of 5G infrastructure has been delayed as well so that takes some pressure off Apple. I am playing the #coronavirus trade with $AMZN, $ZM, and $ESPO... but there are alot of great companies to be had.",Fri Feb 28 09:47:16 +0000 2020,FALSE,en,,2,1
Coronavirus: Fake news is spreading fast. This piece has annoyed one of the 5G conspiracy theorists so much he’s resorted to full caps and a complaint to the BBC.  https://t.co/vzuIJCOaIF,Fri Feb 28 07:50:38 +0000 2020,FALSE,en,"Hammersmith, Greater London (5",1,1
"@MishelDbytes @YouTube Mishel, scoop... maybe you already know. sorry if this is lagging behind your research... i'm too busy these days to watch videos... but JUST IN CASE: it's 5G, because is destroys oxygen https://t.co/22IncEIyfT ""The BEST NEWS re CORONA Virus you've heard all month! Kinda.”",Fri Feb 28 03:57:43 +0000 2020,FALSE,en,"Columbia, MO, USA",0,1
The BBC will not report on   Christians being killed in the middle east   The solar minimum   Internet censorship   The break down of the family unit   The corona virus being created in a lab and simulations before the outbreak    5g being dangerous,Fri Feb 28 04:34:57 +0000 2020,FALSE,en,uk,0,2
WHAT A COINCIDENCE... THEY ENABLE 5G TOWERS IN CHINA NOW EVERYONE IS SICK WITH RESPIRATORY FAILURES THAT ARE ONLY INSTANTLY CAUSED BY THE 5G FREQUENCIES.  IF THEY EVER CREATE FAKE VIRUS INDUCING VACCINES DO NOT EVER  RECEIVE IT!  LATÓM. #CORONAVIRUS #5G #5GNETWORK #5GTOWERS,Fri Feb 28 05:07:53 +0000 2020,FALSE,en,"Okinawa-ken, Japan",0,2
I just read the stupidest thing on Facebook on a friends status  It’s not the corona virus making everyone sick it’s the 5g the radiation   I just can’t Facebook today lol,Fri Feb 28 17:28:06 +0000 2020,FALSE,en,,1,1
"Some freaks out there are desperately trying to link the coronavirus to 5G, even though there's more than 17 years that the phone wireless hoax from Dr Curry in 2000 has been debunked.   They just are the unknowingly stooges of West Vs China, because... Yeah... China is SO BAD 😜",Fri Feb 28 17:02:21 +0000 2020,FALSE,en,,1,2
How do I loathe some days? Let me count the ways.  1. People believe a beer is related to the virus because they share a name.  2. This is a thing major news outlets are now reporting.  3. I'm seeing people write that COVID-19 is actually illness from 5G wifi and...👁️👽👻😱🤯😭 https://t.co/UXJC64As6I,Fri Feb 28 17:24:08 +0000 2020,FALSE,en,Taxed without representation.,1,2
"🔥💣 WAKE UP!  5G 60gig ""IS"" the Corona Virus!🔥💣  PLEASE read this thread... Make sure your local 5G is NOT run at 60gig! 😰👇🙏 https://t.co/C9W7hQM5t7",Fri Feb 28 05:55:30 +0000 2020,FALSE,en,FL,2,1
"Wuhan,S. Korea,Iran,Italy,those cruise ships with the ""corona virus"" cases,were ALL using 5G and millimeter waves,ie: 60 Ghz,which absorbs oxygen,which causes all the symptoms we have heard about.",Fri Feb 28 20:44:05 +0000 2020,FALSE,en,"Trent Hills,Ontario,Canada",0,2
"TIL that there is a conspiracy theory that revolves around the coronavirus outbreak and 5G. #FunFactFriday, IG? https://t.co/txqaH3Ao5l",Fri Feb 28 17:53:37 +0000 2020,FALSE,en,"30 W 47th St #301, New York, NY 10036",1,1
@grandsupremnews they wearing the masks over there not cause of the corona virus its cause that's how strong the radiation is it's not a germ weapon its not no corona virus it 5g and i know you do your homework so do it on what they call the corona virus,Fri Feb 28 07:15:55 +0000 2020,FALSE,en,,0,1
"This may be the most cogent explanation for CoVID-19 yet. Why did so many scientists raise the alarm on 5G? It interferes with oxygen intake and causes people to fall over. Wuhan was a pilot site for 5G rollout. As were S. Korea, Italy and Diamond Princess.  #CoronaVirusUpdates",Fri Feb 28 19:21:23 +0000 2020,FALSE,en,"California, USA",0,1
COVID19 aka Coronavirus is not a virus and is not contagious. This is caused from 5G. Please stop consuming the NWO propaganda! My videos on this topic can be found on my YouTube channel under @Dr_Voll  . . . #virus… https://t.co/FZOF9QegEy,Fri Feb 28 17:58:19 +0000 2020,FALSE,en,"Minden, Ontario, Canada",0,1
"So the future boom in semiconductors that caused 80% gain on this sector BEFORE data confirmation (for 5g, etc) is reversed by coronavirus slowdown BEFORE the slowdown occurs? A new crystal ball destroys the old crystal ball?",Fri Feb 28 15:23:01 +0000 2020,FALSE,en,,2,2
"More needs to be considered with the 5G &amp; Corona Virus connection.  The more deadly part could be 5G caused.  5G can allow the virus into your skin.  If man-made &amp; includes AIDS you won't get rid of it, just have variation of symptoms.  https://t.co/LpLPoo1tws",Fri Feb 28 21:29:40 +0000 2020,FALSE,en,New Zealand,0,1
@X22Report It's all a big con.. people are not dying from the coronavirus. 5G was recently up and running in wuhan... it's the 5G that's causing people to drop dead.. because it messes with the air that we breath and this in turn is starving the human of enough oxygen to causing them to die,Fri Feb 28 10:47:30 +0000 2020,FALSE,en,United Kingdom,0,1
"THIS explains WHY so many cases are being  ""Monitored"" [+8k] in Ca...  CA Dems R Controlled by the Satanic Nazi World Order Cabal/Soro's! PLEASE MAKE SURE YOUR 5G IS NOT RUN AT 60mhz = It Causes ""Corona Virus""  Read thread 👇  @CAGOP  @DevinNunes   @ShawnSteel1  @repPaulCook https://t.co/zjqNAyFCB0",Fri Feb 28 13:49:43 +0000 2020,FALSE,en,FL,0,2
My boyfriend believes in conspiracy theories and he sent me this video about the coronavirus being fake and the disease is being cause by 5G and it’s all bill gates fault 🤣🤣 what do y’all think? https://t.co/UEhdkfYLtU,Fri Feb 28 12:15:35 +0000 2020,FALSE,en,"Hyde Park, Wercher , Nimes",1,2
The latest conspiracy theory I heard is that China created Huawei 5G to emit waves that activate the coronavirus in countries around the free world. Sounds totally legit.,Fri Feb 28 02:51:31 +0000 2020,FALSE,en,USA,1,2
"@epochchanger Wait, wait, wait! Coronavirus is a zoonotic infection . . . Bat to human transfer. It was/is NOT caused by 5G technology. We have enough misinformation and confusion out there without adding this total nonsense to it.",Fri Feb 28 21:17:19 +0000 2020,FALSE,en,USA,1,1
My spiritual advisor said the corona virus isn’t a virus. Everybody is getting sick because of the new 5G networks in wuhan. #didnthearitfromMe,Fri Feb 28 17:59:38 +0000 2020,FALSE,en,"Water Temple, Florida",0,2
@FreckledLiberty It's so stupid to blame coronavirus on Trump when it was obviously caused by 5G. #5GoronaVirus,Fri Feb 28 07:23:51 +0000 2020,FALSE,en,"San Diego, CA",0,2
The Corona Virus Cell-Flu &amp; The Plan To Kill With 5G https://t.co/7rhIBvY8Kr,Fri Feb 28 03:06:50 +0000 2020,FALSE,en,United States,0,2
Oh and here’s the latest comment on a Facebook post attacking my story about 5G/Coronavirus conspiracy theories https://t.co/nNs2t1Q26f,Fri Feb 28 14:46:13 +0000 2020,FALSE,en,"Hammersmith, Greater London (5",1,2
It’s not the Coronavirus that’s killing them think about the 5G the radiation and antennas for faster internet https://t.co/yTqZjnb48I,Fri Feb 28 00:31:49 +0000 2020,FALSE,en,Brazil,0,2
@realDonaldTrump   5G at 60ghz causes what they are calling the Corona Virus. PLS read thru this thread &amp; see video...  Are we SAFE from someone using 60ghz? https://t.co/C9W7hQM5t7,Fri Feb 28 06:13:25 +0000 2020,FALSE,en,FL,0,2
#Coronavirus #Coronavirusaustralia Corona Virus Explaint #5G #Wuhan #China https://t.co/u69CrYrcyw,Fri Feb 28 02:18:23 +0000 2020,FALSE,en,The Netherlands,0,1
"OMG!! Is this true Chinese 5G phones cause #CoronavirusOutbreak #Coronavid19 #DowJones #FridayReads https://t.co/fspw2P9rvd You WERE Warned About The Coronavirus“Telephone Disease""But Lies Won Out Over Truth. COVID19 outbreak begins to spread in Persian Gulf nations activating 5G https://t.co/D24APxAYlS",Fri Feb 28 22:01:12 +0000 2020,FALSE,en,,0,1
"#TonightVMTV Agenda 21,  Roll out 5G worldwide, while simultaneously blaming the illness it causes, &amp; the severe impact on oxygen, on the ""spreading coronavirus,"" then kill more people with mandatory Vaccines funded by Bill Gates.",Fri Feb 28 00:34:47 +0000 2020,FALSE,en,,0,2
Just saw a post on FB where they said the corona virus wasn’t real and was in fact caused by the heavy metals in vaccines being affected by the new 5g tool out. https://t.co/LNSU4PkPSB,Fri Feb 28 15:43:03 +0000 2020,FALSE,en,"At bedside, cracking jokes.",0,2
@DarnelSugarfoo @JuliansRum That's because the super wealthy know more about the corona virus &amp; are cashing in.  Their lying media are telling the public total crap.  Maybe there are over a million dead in China and incinerators working full time.  They'll turn up the 5G and start killing millions soon.,Fri Feb 28 21:33:32 +0000 2020,FALSE,en,New Zealand,0,2
5G towers and the Corona virus.  Wheres the conspiracy theory thread? https://t.co/VuI9qzxNnV,Fri Feb 28 20:30:26 +0000 2020,FALSE,en,"Atlanta, GA",1,1
The Wuhan coronavirus has nothing to do with 5G https://t.co/YW3Q1K0Uin via @FullFact  Thoughts?,Fri Feb 28 11:34:38 +0000 2020,FALSE,en,,1,1
@grandsupremnews videos of anybody who make 1 about the corona virus cause they know the truth its actually about 5g and they along with bill gates and other elites put up money to get them towards up i got proof that's it 5g not no corona virus look at this,Fri Feb 28 07:11:10 +0000 2020,FALSE,en,,0,1
The #Coronavirus #5G Connection and Coverup #WeThePeople #WeDoNotConsent  https://t.co/P9nQemSicL,Fri Feb 28 15:26:37 +0000 2020,FALSE,en,Somewhere in  Ga🍑,0,2
"@Rich_Fann Between this and the nutter butters that think coronavirus is a conspiracy delivered with chemtrails and activated by chinese 5G radios, it's been a banner day for the moron community.",Fri Feb 28 13:48:47 +0000 2020,FALSE,en,"Austin, TX",1,1
@grandsupremnews stocks but once again it's 5g that's y people are dropping dead cause of the radiation the proof is right here that's all i wanted to tell you god bless and please do your research on 5g and corona virus you'll see https://t.co/QDFmgBHcH9,Fri Feb 28 07:22:54 +0000 2020,FALSE,en,,0,1
"Well it's official cause the customer ahead of me in H&amp;Barrett just cornered me to tell me: Coronavirus doesn't exist, it's 5G causing the problems. Oh, and any large building fires are due to a build up of microwaves not the cladding.   #youhearditherefirst #wheresmyfoilhat",Fri Feb 28 15:57:05 +0000 2020,FALSE,en,"London, UK",0,2
So what if #Coronavirus is really just people dying because they can't handle #5G. They will then make sure you get your shots because those who don't will be on a different #frequency and die from the five g wavelengths,Fri Feb 28 20:41:09 +0000 2020,FALSE,en,whereGodwantsme,0,1
The coronavirus is not real it is nothing more than a flu that was caused by the gamma rays stimulations magnetically and we can easily proved it the 5g technology in China is the cause of it,Fri Feb 28 04:52:41 +0000 2020,FALSE,en,,0,2
5G being blamed for coronavirus is a rabbit hole I was not prepared for,Fri Feb 28 20:28:11 +0000 2020,FALSE,en,"Scotland, United Kingdom",0,2
"@RolandBakerIII Neutrophil and Lymphocyte count seems to have influenced mortality rate greatly. Those are associated with exposure to EMF radiation. While i try to stay away from conspiracy theories, this should be considered one of the factors leading to such high CFR in wuhan.  #COVID19  #5G",Fri Feb 28 20:21:36 +0000 2020,FALSE,en,,1,1
Coronavirus Disease X 5G Vaccines https://t.co/lhiJyxQzk1 via @YouTube. 5 G is 5 gigs....WI-GIG IS 5G OR 60 GIGS.  5 G IS NOT HERE YET BUT MAY BE IN CHINA.,Fri Feb 28 14:00:10 +0000 2020,FALSE,en,"Colville, WA",1,1
@HopenYourEyes1 @YouTube I don't go into all conspiracy theories but 5g and coronavirus link does seem suspicious @Lsinghm,Fri Feb 28 01:23:40 +0000 2020,FALSE,en,,1,1
The conspiracy theories about #coronavirus really being a cover-up for #5G problems are running wild #fakenews https://t.co/Z0TydGqCuR,Fri Feb 28 13:13:56 +0000 2020,FALSE,en,"São Paulo, Brasil",1,1
"@Meggone2 @HotShot__1 Also funny that 100's if not 1000's of places now have 5G - but they don't have the coronavirus... It's almost as if conspiracy types only look at the tiny portion of evidence that confirms their beliefs, whilst blissfully ignoring the mountain of evidence that goes against it.",Fri Feb 28 13:04:53 +0000 2020,FALSE,en,,1,1
If you take a 🐁 give it flu put it inside a chamber with height frequency of 5g it will dies of symptoms similar to the coronavirus it the 5g causing the problem that why all the gear mask have copper to protect the people because these ass hoe no the problem,Fri Feb 28 16:16:46 +0000 2020,FALSE,en,,0,2
#5G rollout in China unfazed by novel #coronavirus attack https://t.co/PbVS6yrZ7q https://t.co/B3w7xEzXK9,Fri Feb 28 02:00:05 +0000 2020,FALSE,en,"Beijing, China",2,2
@y1025fm Nope got it wrong. COVID-19 however is a 5G activated virus with a heart attack back (caused directly by the 5G). https://t.co/JWTi8f73nc,Fri Feb 28 12:50:45 +0000 2020,FALSE,en,,0,1
"#Coronavirusireland  Agenda 21,  Roll out 5G worldwide, while simultaneously blaming the illness it causes, &amp; the severe impact on oxygen, on the ""spreading coronavirus,"" then kill more people with mandatory Vaccines funded by Bill Gates.",Fri Feb 28 00:33:01 +0000 2020,FALSE,en,,0,2
"Huawei is leading in 5G... and then you see ""Coronavirus (and 5G) will boost telecommuting, change our tech future"" https://t.co/AazP9GEsWg #interesting #conspiracytheories",Fri Feb 28 18:43:51 +0000 2020,FALSE,en,here and there and everywhere,1,2
"@MedianPolitics @Mywalktorestor1 Because it's a hoax, this ""virus"" is a cover-up to the 5G network which the symptoms are eerily similar to those being described. Watch ""Corona ""Virus"" or 5G ???"" on YouTube https://t.co/h2JV075Cee",Fri Feb 28 13:50:40 +0000 2020,FALSE,en,somewhere in America,0,2
"@RantyAmyCurtis There's a conspiracy theory which claims 5G radiation weakens immune systems and provokes mutations, which is where the new coronavirus strain came from.  Apparently Wuhan was the test city for 5G in Chins due to Huawei manufacturing components there.",Fri Feb 28 23:26:09 +0000 2020,FALSE,en,"Kansas City, MO",1,2
You never know which one is conspiracy which one is real #coronavirus #5G,Fri Feb 28 20:00:09 +0000 2020,FALSE,en,"Pune, India",1,1
"@AynThrope @hammy413 I dont really trust much from infowars, or most far left or right leaning media outlets. but they werent lying about the flu like symptoms of 5g. because of a form of radiation.   The coronavirus stims from a type of snake. from my research, but they are not 100% sure.",Fri Feb 28 17:41:07 +0000 2020,FALSE,en,Living rent free in your head.,2,2
"@SaraCarterDC Majority of deaths occur in 5G enabled areas, 5G weakens immune systems and is believed to cause exact symptoms as the corona virus. 5G cause problems with hemoglobins extracting oxygen, the 6Ohz is 98% absorbed by oxygen changing it slightly hence the hemoglobin problems.",Fri Feb 28 23:56:05 +0000 2020,FALSE,en,,0,2
"F**k me, people believe that #Coronavirus is caused by 5G.",Fri Feb 28 01:57:12 +0000 2020,FALSE,en,Australia,1,2
Wireless Dangers Australia: CORONA VIRUS UPDATE AND THE ANTI VIRAL PLAN TO KILL WITH 5G. https://t.co/7hUDPFY0hh #coronavirus #5G,Fri Feb 28 03:29:05 +0000 2020,FALSE,en,"Stockholm, Sverige",0,2
"@iheartpylons No, we all know that the Corona virus is caused by 5g!",Fri Feb 28 11:44:18 +0000 2020,FALSE,en,Europe,0,2
@_billytheboy_ 5G radiation causes corona virus but everyone still wants faster internet,Fri Feb 28 10:16:12 +0000 2020,FALSE,en,within,0,2
https://t.co/jdB78HnlgG  This is why there needs to be a complete #TravelBan on #china.  #coronavirus #5G #manmadevirus,Thu Feb 13 22:07:23 +0000 2020,FALSE,en,In burning 🔥hell.,2,1
"Digitimes: Coronavirus production delays will not affect iPhone 12 September launch, high demand for 5G A14 chips https://t.co/iXTPc7RjtE",Thu Feb 13 14:01:33 +0000 2020,FALSE,en,"New York, NY",2,2
"Digitimes: Coronavirus production delays will not affect iPhone 12 September launch, high demand for 5G A14 chips. https://t.co/Wt92X2NeDb",Thu Feb 13 20:55:40 +0000 2020,FALSE,en,USA,2,2
China's #5G development may delay due to #coronavirus. https://t.co/zCphr4QimG https://t.co/8WDZmjbCWJ,Thu Feb 13 23:40:02 +0000 2020,FALSE,en,"Beijing, China",2,2
"Announcement: I regret to inform you that because of the outbreak of Wuhan Coronavirus, and due to its fast download speeds, I have made the difficult decision of cancelling 5G  Handset makers &amp; marketing executives are advised to refresh their 4G talking points in the interim",Thu Feb 13 04:27:43 +0000 2020,FALSE,en,Taipei,2,1
Coinspeaker Apple iPhone 12 with 5G A14 Сhips to Be Launched as Planned Despite Coronavirus DelaysApple (AAPL) stock is 1% down even though the coronavirus...Read more: https://t.co/S2koxDcKj9,Thu Feb 13 17:14:08 +0000 2020,FALSE,en,USA,2,1
"Digitimes: Coronavirus production delays will not affect iPhone 12 September launch, high demand for 5G A14 chips - 9to5Mac https://t.co/VzjViPUHMy",Thu Feb 13 17:31:12 +0000 2020,FALSE,en,Everywhere,2,2
Coronavirus - 5G Launches In Wuhan Only Weeks Before Coronavirus Outbreak https://t.co/3SqOlT3Tve via @YouTube,Thu Feb 13 03:51:30 +0000 2020,FALSE,en,New York City,0,1
"Digitimes: Coronavirus production delays will not affect iPhone 12 September launch, high demand for 5G A14 chips https://t.co/QrCADpjOpn via @GeekTech_App #geektech #technewsapp  #Apple",Thu Feb 13 11:30:03 +0000 2020,FALSE,en,,2,2
Corona Virus and 5G link #BillGates #Pandemic  https://t.co/2OIiXW5Nfh,Thu Feb 13 20:56:12 +0000 2020,FALSE,en,,0,1
REPOST: Corona Virus Fakery And The InOvio Pharmaceuticals Link To 5G Testing https://t.co/Qu6EcbCV5f,Thu Feb 13 19:03:25 +0000 2020,FALSE,en,,0,2
"Coronavirus, nukes and 5G will be hot topics as global leaders gather in Germany 106377006",Thu Feb 13 14:01:00 +0000 2020,FALSE,en,USA,2,2
"I just saw on FB a conspiracy theory that the corona virus is caused by 5G fields, which also happen to be called coronas. This kind of thinking is what we are fighting against folks. https://t.co/UeL7GVoNIr",Thu Feb 13 21:25:35 +0000 2020,FALSE,en,"Dharug Country, Australia",1,1
Apple iPhone 12 with 5G A14 Сhips to Be Launched as Planned Despite Coronavirus Delays https://t.co/SJIf4JZJMD #Apple #iPhone12 https://t.co/cvWMQeOoIg,Thu Feb 13 17:38:37 +0000 2020,FALSE,en,Malta,2,1
It is good for the UK govt to alert how much the harmful effect of Wuhan Coronavirus that has brought from China before it still considers to adopt Huawei 5G! What are the causes of Wuhan Coronavirus? Who should have taken up all the accountability? https://t.co/PslbCE9XyV,Thu Feb 13 21:21:37 +0000 2020,FALSE,en,,2,2
ALERT!! CORONA VIRUS CAUSED BY 5G!!! https://t.co/oQZ7VEZuW4 via @YouTube,Thu Feb 13 14:57:19 +0000 2020,FALSE,en,,0,1
"People need the scoop on bad 5g and Corona virus and how these high frequency even microwave technology is their plan to kill us,the people need to know how harmful Electric magnetic fields in your house,like smart meters conspiracy what you want but that's not tinitus we all got",Thu Feb 13 22:36:45 +0000 2020,FALSE,en,"Colorado, USA",1,2
"Coronavirus could impact 5G deployment, smartphones sold in China https://t.co/SSUrfmZ95D",Thu Feb 13 15:48:37 +0000 2020,FALSE,en,"Washington, DC",2,1
"Digitimes: Coronavirus production delays will not affect iPhone 12 September launch, high demand for 5G A14 chips – 9to5Mac",Thu Feb 13 15:09:45 +0000 2020,FALSE,en,Global,2,2
@JonnyVamExplore some are saying the coronavirus hit hard cos of changes to the immune system by 5g,Thu Feb 13 12:50:26 +0000 2020,FALSE,en,Añón ,0,2
"Responding to the coronavirus, a 5G network set up by China Mobile and ZTE is being used to enable video conferencing for diagnosis and treatment. The West China Hospital is serving as the central node supporting 27 satellite hospitals treating patients. https://t.co/TASBDBvLbV https://t.co/cv4d1Bk1ZB",Thu Feb 13 16:53:02 +0000 2020,FALSE,en,"Norwood, Massachusetts",2,2
Apple iPhone 12 with 5G A14 Сhips to Be Launched as Planned Despite Coronavirus Delays https://t.co/Zkbjzv8n7k https://t.co/gmAQOkNJdc,Thu Feb 13 17:46:22 +0000 2020,FALSE,en,United States,2,1
"It's gonna be okay guys, my mom figured out it's wifi and 5G that causes Corona virus.",Thu Feb 13 18:45:25 +0000 2020,FALSE,en,Ohio 🌽Near the city of Chorrol,0,2
The News Hospitals in Wuhan are working with 5G. #coronavirus #hopital #wuhan  https://t.co/3oRfxpHWBv,Fri Feb 07 22:20:24 +0000 2020,FALSE,en,Dominican Republic,1,2
"@HoustonLH I researched it last night. 5G went live in Wuhan on ""Halloween"" 2019. And the radiation and exposure effects on the body at a cellular level cause ""flu like""symptoms. Coincidentally The Gates Foundation held Event 201 in New York in October 2019 which simulated the coronavirus.",Fri Feb 07 10:50:54 +0000 2020,FALSE,en,Under the Firmament ,0,1
"Sweden’s Ericsson, one of Huawei’s big rivals, is withdrawing from the world’s biggest telecom/5G conference in Barcelona because of coronavirus fears. Last year roughly 6,500 of the 109,000 attendees were from China.  https://t.co/YMfskDB9Vq",Fri Feb 07 11:34:39 +0000 2020,FALSE,en,,2,2
The coronavirus being caused by 5G is my new favorite take,Fri Feb 07 18:12:13 +0000 2020,FALSE,en,,0,2
The Goddard Report with host @jimgoddard3    Italian Courts Agree #CellPhones Cause #Cancer City where #coronavirus originated one of the most intensely microwaved places on Earth  #5G #SmartMeterFires  Guest: Sharon Noble  https://t.co/tZoZCnA8Ot https://t.co/5Hmpcy85Fp,Fri Feb 07 04:45:03 +0000 2020,FALSE,en,Vancouver,0,2
Since when did we start pumping out the 5G network? I just noticed my router had 5G. I unplugged it. No wonder because I've been having headaches and fatigue for a week! #coronavirus #5G,Fri Feb 07 03:20:32 +0000 2020,FALSE,en,Babylon the Damned,2,2
"Why so many deaths in China and not in other countries? Is there a link to #5G? Official reports lower than reality? Revolution because face regcognition don't work? ""The next #Pandemic"" 2019 #Netflix #BillGates? WuXi App Tech owned #Soros? #coronavirus #china #Outbreak #Wuhan https://t.co/fEG255GNDS",Fri Feb 07 18:36:30 +0000 2020,FALSE,en,Planet Earth 🐵 Absurdistan 🐒,2,2
https://t.co/ATlAHICGeU coronavirus came from Winnipeg Manitoba Canada sent to China to create Paddock fear cure the Cure is Bill Gates has a vaccination that's even worse than the disease they could Target any individual at will with the activation of 5G nanotechnology involved,Fri Feb 07 15:04:43 +0000 2020,FALSE,en,"Vancouver, British Columbia",0,2
"While #5G will increase IT spending this year, the #coronavirus could cause major disruption in the tech industry, according to @IDC. https://t.co/XEDO39nx5K https://t.co/atGWWaU774",Tue Feb 11 20:08:59 +0000 2020,FALSE,en,"Washington, D.C.",0,2
The corona virus isn’t a virus. Corona is the field around high voltage electricity.This creates an abundant amount of radiation and has an emf field that is close to high voltage power transmission.This is a viral attack with 5g at the head.They are literally cooking us to death,Tue Feb 11 16:02:05 +0000 2020,FALSE,en,Opening my 👁,0,1
"@DJGroyper Lmfao wat. I have read that 5g EMFs do have the potential of being dangerous, but by no means would it cause corona virus. EMFs of 5g strength possibly (and very likely) have adverse effects on DNA itself.... not some viral disease... https://t.co/sd7xjEpi68",Tue Feb 11 17:09:31 +0000 2020,FALSE,en,United States,1,1
"@PearlPam3 5G as well : A post on Facebook claims that Wuhan, China, the centre of the new coronavirus outbreak, was where 5G was first rolled out. It suggests that 5G has damaged peoples’ immune systems and so boosted the virulence of the common cold. https://t.co/c9yyhkJGOh",Tue Feb 11 16:54:30 +0000 2020,FALSE,en,,0,2
"While #5G will increase IT spending this year, the #coronavirus could cause major disruption in the tech industry, according to IDC. https://t.co/tYgwAucU5j https://t.co/phPWCMhcnM",Tue Feb 11 20:10:00 +0000 2020,FALSE,en,"Colorado, USA",0,2
5G Launches In Wuhan Weeks Before Coronavirus Outbreak #coronavirus #CoronavirusOutbreak https://t.co/QXdd5Nsnws,Tue Feb 11 18:13:27 +0000 2020,FALSE,en,"Corcoran, California, USA",0,1
5G is an anti-life technology it’s military weaponry disguised as telecommunications convenience broadcasting it is like a laser millimeters wave exposure causes damage in seconds it causes antibiotic resistance (leading to superbugs) like corona virus,Tue Feb 11 00:02:19 +0000 2020,FALSE,en,"Louisiana, USA",0,1
I still can't believe someone tried to tell me corona virus was being caused by 5G.   What level of woke was he on?,Tue Feb 11 16:53:52 +0000 2020,FALSE,en,Diggin in the crates,1,1
"#Samsung shows off foldable and #5G-enabled #smartphones with no new budget offering, despite #Apple’s strong holiday showing with a ( delayed due to #Coronavirus... ) wider range of prices https://t.co/ZXAnrzGKun",Tue Feb 11 20:58:44 +0000 2020,FALSE,en,France,2,1
"Corona Virus centre point, Wu Han, all Internets (Mobile 5G 4G 3G 2G WiFi) are cut off, because WHO (World Health Organisation) Inspectors are coming. No one are allowed to leave the Home @realDonaldTrump @FBI @CECCgov @robert_spalding @CitizensAR @Jkylebass @realKyleOlbert @WHO https://t.co/e5liEAa74X",Tue Feb 11 15:15:35 +0000 2020,FALSE,en,,2,1
